time,left,mid,right
934,0.99999160954821,0.99996773589553,0.99995642347709
935,0.99999172976123,0.99996819815494,0.99995704781358
936,0.99999184825191,0.9999686537914,0.99995766320498
937,0.99999196504493,0.99996910289978,0.99995826977945
938,0.99999208016462,0.99996954557363,0.99995886766331
939,0.99999219363494,0.99996998190514,0.99995945698107
940,0.99999230547954,0.99997041198516,0.99996003785546
941,0.9999924157217,0.99997083590328,0.99996061040745
942,0.99999252438438,0.99997125374776,0.99996117475629
943,0.99999263149021,0.99997166560564,0.9999617310195
944,0.99999273706149,0.99997207156269,0.99996227931293
945,0.99999284112022,0.99997247170344,0.99996281975076
946,0.99999294368806,0.99997286611123,0.99996335244554
947,0.99999304478638,0.9999732548682,0.99996387750822
948,0.99999314443622,0.99997363805531,0.99996439504813
949,0.99999324265835,0.99997401575235,0.99996490517306
950,0.99999333947321,0.999974388038,0.99996540798925
951,0.99999343490097,0.99997475498978,0.99996590360141
952,0.9999935289615,0.99997511668411,0.99996639211276
953,0.99999362167439,0.99997547319631,0.99996687362503
954,0.99999371305895,0.99997582460063,0.9999673482385
955,0.99999380313421,0.99997617097026,0.99996781605201
956,0.99999389191894,0.99997651237733,0.99996827716299
957,0.99999397943161,0.99997684889294,0.99996873166747
958,0.99999406569045,0.99997718058716,0.9999691796601
959,0.99999415071344,0.99997750752908,0.99996962123418
960,0.99999423451826,0.99997782978679,0.99997005648166
961,0.99999431712239,0.9999781474274,0.99997048549321
962,0.99999439854302,0.99997846051705,0.99997090835814
963,0.99999447879711,0.99997876912096,0.99997132516454
